               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  86,            0.067088,           0.0079819,           0.0039146,             0.69591,             0.50393,             0.54473,               0.278,            0.064997,            0.002942,            0.002512,             0.00439,             0.00439,             0.00439
                  87,            0.066973,           0.0079936,           0.0037269,             0.68937,             0.48033,             0.54226,             0.24302,            0.064873,            0.002877,           0.0027409,            0.004324,            0.004324,            0.004324
                  88,            0.065318,           0.0079042,           0.0035522,             0.71513,             0.52243,              0.5677,             0.26615,            0.064937,           0.0028992,           0.0029313,            0.004258,            0.004258,            0.004258
                  89,            0.065082,           0.0078814,            0.004046,             0.69138,             0.50823,             0.55152,             0.25453,            0.063825,           0.0028861,           0.0021126,            0.004192,            0.004192,            0.004192
                  90,            0.066722,           0.0077452,           0.0038731,             0.70763,             0.47562,             0.55254,             0.26421,            0.064901,            0.002886,           0.0023483,            0.004126,            0.004126,            0.004126
                  91,            0.066557,           0.0078342,           0.0036536,             0.62808,             0.42262,             0.45199,             0.21352,            0.069191,            0.002953,           0.0054708,             0.00406,             0.00406,             0.00406
                  92,            0.066122,           0.0077748,           0.0035455,             0.71815,             0.50029,             0.55712,             0.25636,            0.065039,           0.0028909,           0.0022696,            0.003994,            0.003994,            0.003994
                  93,            0.065276,           0.0077021,           0.0036923,             0.73717,             0.47692,             0.54384,             0.22272,            0.065419,           0.0029187,           0.0024536,            0.003928,            0.003928,            0.003928
                  94,            0.066706,           0.0079271,           0.0035726,             0.77588,             0.47353,             0.56329,             0.27309,            0.064115,           0.0028418,           0.0028548,            0.003862,            0.003862,            0.003862
                  95,             0.06521,           0.0077696,           0.0035122,              0.7085,             0.52211,             0.57489,              0.2484,            0.064548,           0.0028516,           0.0027305,            0.003796,            0.003796,            0.003796
                  96,            0.066327,           0.0079457,           0.0035429,             0.68956,             0.50711,             0.54947,             0.24076,            0.065677,           0.0029206,           0.0027302,             0.00373,             0.00373,             0.00373
                  97,            0.064792,           0.0077127,           0.0032405,              0.7494,             0.49311,             0.57913,             0.26707,            0.063944,           0.0028316,           0.0024477,            0.003664,            0.003664,            0.003664
                  98,            0.065301,           0.0077132,           0.0032897,             0.70518,             0.47588,             0.52944,             0.23949,            0.064104,           0.0028853,           0.0024046,            0.003598,            0.003598,            0.003598
                  99,            0.063844,           0.0075171,           0.0035299,             0.75892,             0.50481,             0.57097,             0.25603,            0.063305,           0.0028547,           0.0024669,            0.003532,            0.003532,            0.003532
